seccion;municipio;Renta neta media por persona
2806201001;Garganta de los Montes;13499
2806301001;Gargantilla del Lozoya y Pinilla de Buitrago;13045
2806401001;Gascones;11690
2806501002;Getafe;10740
2806501003;Getafe;12567
2806501004;Getafe;11672
2806501005;Getafe;12481
2806501006;Getafe;12257
2806501007;Getafe;11347
2806501008;Getafe;9510
2806501009;Getafe;13728
2806501010;Getafe;10532
2806501011;Getafe;12088
2806501012;Getafe;9186
2806501013;Getafe;12525
2806501014;Getafe;9124
2806501015;Getafe;9468
2806501016;Getafe;10843
2806501017;Getafe;11375
2806501018;Getafe;10888
2806501019;Getafe;11993
2806502001;Getafe;12040
2806502002;Getafe;10539
2806502003;Getafe;10263
2806502004;Getafe;8169
2806502005;Getafe;8199
2806502006;Getafe;7799
2806502007;Getafe;7692
2806502009;Getafe;11071
2806502010;Getafe;12423
2806502011;Getafe;11935
2806502012;Getafe;10990
2806502013;Getafe;14910
2806502014;Getafe;10442
2806502015;Getafe;12304
2806502016;Getafe;13674
2806502017;Getafe;18170
2806502018;Getafe;11505
2806502019;Getafe;11454
2806502020;Getafe;11790
2806502021;Getafe;12709
2806502022;Getafe;17197
2806503001;Getafe;9207
2806503002;Getafe;9541
2806503003;Getafe;8426
2806503004;Getafe;8783
2806503005;Getafe;10308
2806503006;Getafe;8891
2806503007;Getafe;9680
2806503008;Getafe;10881
2806503009;Getafe;9930
2806503010;Getafe;9468
2806503011;Getafe;9530
2806503012;Getafe;9286
2806503013;Getafe;9319
2806503014;Getafe;9523
2806503015;Getafe;10214
2806503016;Getafe;11171
2806503017;Getafe;15210
2806503018;Getafe;15132
2806503019;Getafe;15309
2806503020;Getafe;15427
2806503021;Getafe;17414
2806503022;Getafe;16784
2806503023;Getafe;19218
2806503024;Getafe;15548
2806503025;Getafe;15898
2806503026;Getafe;16126
2806503027;Getafe;17576
2806503028;Getafe;13485
2806503029;Getafe;16514
2806503030;Getafe;15604
2806503031;Getafe;16744
2806503032;Getafe;16948
2806503033;Getafe;14184
2806503034;Getafe;14707
2806503035;Getafe;13017
2806503036;Getafe;12746
2806503037;Getafe;13206
2806503038;Getafe;13772
2806503039;Getafe;16304
2806503040;Getafe;11755
2806503041;Getafe;18184
2806503042;Getafe;15729
2806503043;Getafe;15285
2806503044;Getafe;16749
2806503045;Getafe;14146
2806503046;Getafe;14484
2806503047;Getafe;16436
2806504001;Getafe;10518
2806504002;Getafe;9916
2806504003;Getafe;10548
2806504004;Getafe;8503
2806504005;Getafe;10299
2806504006;Getafe;9303
2806504007;Getafe;9727
2806504008;Getafe;9274
2806504009;Getafe;9017
2806504010;Getafe;9650
2806504011;Getafe;10595
2806504012;Getafe;13303
2806504013;Getafe;8705
2806504014;Getafe;9636
